Kota,Suhu Minimum,Suhu Maximum,Curah Hujan,Penguapan,Jam Cerah,Arah Angin 24 jam,Kecepatan Angin 24 jam,Arah Angin 9 Pagi,Arah Angin 3 Sore,Kecepatan Angin 9 Pagi,Kecepatan Angin 3 Sore,Kelembaban 9 Pagi,Kelembaban 3 Sore,Tekanan Udara 9 Pagi,Tekanan Udara 3 Sore,Awan 9 Pagi,Awan 3 Sore,Suhu Celcius 3 Sore,Hari ini Hujan
AliceSprings,22,40.3,0.2,13.6,11.1,SW,56,NNE,NNW,31,24,60,45,1012.3,1011.3,1,0,25.2,No
Launceston,14.2,23.8,0,16,9.4,WSW,46,WSW,WSW,17,15,68,29,1013.7,1010.9,1,0,26.2,No
Brisbane,8.5,24.2,0,8,12.9,SSW,37,SSW,SW,13,15,46,14,1012.2,1010.1,0,0,34.3,No
Uluru,8.3,23.4,0,10,12.8,S,35,SSE,SSE,31,17,57,27,1014.6,1012.4,0,0,30.2,No
MountGambier,9.6,30,0,6.4,13,SE,30,SE,NE,26,13,58,23,1016,1013.3,NA,NA,30.3,No
Darwin,14.6,35.3,0,8.4,12.8,NE,50,NNE,W,15,30,72,48,1019.8,1017.3,5,1,27.2,Yes
PearceRAAF,20.2,34.7,0,12,12.7,ENE,39,NNE,NNE,22,31,64,44,1019.4,1015.9,4,2,27.4,No
Albany,19.8,36.3,0,11.8,12.9,NNE,37,NNE,SSE,17,28,53,51,1019.5,1015.3,1,2,27.1,No
Townsville,17.9,38.5,0,11,13.1,ESE,41,N,NW,26,33,65,51,1019.3,1015.8,4,1,26.9,No
WaggaWagga,19.2,41,0,10,11.3,NNE,39,NE,W,22,30,57,49,1020,1016.4,4,1,27.6,No
AliceSprings,25.1,41.1,0,16,12,S,50,SE,SW,30,44,51,53,1020.3,1017.7,1,4,26.2,No
Uluru,17.6,36.2,0,15.6,NA,S,44,SSE,SSE,33,35,58,55,1022.3,1019.6,3,3,26.4,No
Darwin,20.7,38.2,0,NA,11.2,NNW,41,E,NE,31,37,64,50,1021.6,1019.1,3,2,25.7,Yes
Brisbane,22.6,38.4,0,26.8,NA,NE,37,NNE,NE,43,37,55,43,1021.1,1019.1,2,3,26,Yes
MountGambier,23.3,37.8,0,NA,NA,NE,39,NNE,NE,35,39,59,52,1021.1,1018.9,2,3,24.4,Yes
PearceRAAF,24.9,40.4,0,NA,NA,N,31,SE,NNE,26,35,89,54,1021.5,1018.7,6,4,25.7,Yes
Albany,26,33,0,36,NA,SSW,56,SSW,S,24,37,65,52,1020.9,1018.7,4,2,26.3,Yes
AliceSprings,15.5,32,0,15.4,11,S,52,SSE,S,19,30,74,55,1020.7,1017.5,2,3,25.6,No
Townsville,15.1,33.8,0,14.8,12.4,SSE,41,SSE,SW,22,26,85,52,1019.7,1014.5,7,1,26.3,Yes
Launceston,16.8,29.2,0,5.2,10.7,ENE,31,SE,NE,17,19,60,62,1016.6,1012.3,2,1,26.7,No
